,,Short-Term Business Traveler and Extended Business Traveler Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonresidents are foreigners, holders of temporary visa without an employment contract with a local company, arriving in Brazil, before completing 183 days of stay in Brazil, counted within any 12-month period. Residents taxed on worldwide income, nonresidents taxed on Brazilian source income, subject to flat withholding at 25%. ","Taxable as resident if domiciled, principal place of abode in Cambodia or present for more than 182 days.  Residents taxed on worldwide salary, nonresidents taxed on Cambodian source only.","There are no specific Canadian tax rules for determining whether an individual is resident in Canada. Residency is determined based on facts and circumstances. Residents taxed on worldwide income, nonresidents taxed on Canadian source income. ","Taxable as resident if domiciled, or in the first full year after a 5 year residency period, the individual may be taxed on worldwide income.  The first full year is triggered if the individual is not absent from China for more than 30 days in any one trip or 90 days cumulative in 1 year.","Taxable as resident if they reside for more than 6 consecutive or nonconsecutive months in the tax year or if they complete a consecutive 6 month period during a tax year.  However, foreign residents are subject to tax on their Colombian source income during their first 4 years of continuous or discontinuous residence.  They are subject to worldwide tax in their 5th year.","Taxable as a resident if they have a home in Denmark where they live or if they stay in Denmark for at least six consecutive months. Short stays abroad for leisure or holiday will not interrupt the six-month period. Residents taxed on worldwide income, nonresidents taxed on Danish source income.",No data,"Taxable as a resident if they have a permanent home in Finland or if they stay in Finland for at least six consecutive months. Temporary absences (up to two months) will not interrupt the six-month period. Residents taxed on worldwide income, nonresidents taxed on Danish source income.","Taxable as resident if domiciled in France. Residents taxed on worldwide income, nonresidents tax on French source income.",Taxable as a resident on worldwide income if present for an uninterrupted period of six months.  Non-resident taxable on only German source income.,No data - salary tax only.,"Taxable as resident on worldwide income if present in India for 182 days or more in the tax year, however may qualify as taxable on only India source income as ""Not Ordinarily Resident (NOR)"" if employee has not been an Indian resident in 9 out of 10 tax years or has been present for less than 729 days in the 7 previous tax years.",Taxed as resident if present for more than 183 days in 12 month period. If in calendar tax year reside in Indonesia with intent to stay or meet the time requirements of applicable treaty.,"Taxable as resident if any of the following conditions are met:
- individual spends 183 or more days in Ireland during the calendary year
- individual spends an aggregate of 280 or more days in Irelands during the current and prior tax year, with more than 30 days in Ireland in each tax year
- individual elects to become tax resident for the tax year in which they come to Ireland with the intention to be resident in the following tax year, and is tax resident under one of the tests listed above in the following tax year. 
Residents taxed on worldwide income, nonresidents generally taxed on Irish source income.",Taxable as resident if individual has their habitual abode in Italy or their center of vital interests is located in Italy or they are registered at the Office of Records of the Resident Population in Italy. Residents are taxes on worldwide income and nonresidents are taxes on Italian-source income only. ,"After one year of residency an individual will be considered a non permanent resident.  After 5 years of residency, permanent resident.  Non residents are taxed at 20% on Japanese source income - national tax only, non permanent residents taxed at regular graduated rates on Japanese source income-national and inhabitants tax, permanent residents taxed on worldwide income at graduated rates. Directors may be taxed differently from non director employees.","Taxable as resident if domiciled or after one year of residency.  A resident is taxed on worldwide income.  A nonresident is taxed on Korean source income.  If the individual maintains resident status in the home country, a determination is made in that country.","An individual is considered a resident of Luxembourg if his domicile or customary place of abode is in Luxembourg. A person's domicile is the place where he occupies a home under circumstances that indicate he will retain and use it. A customary place of abode is deemed to exist if an individual has been present in Luxembourg for a period of at least 6 months. For short-term assignments, if the individual is considered as resident in both countries, the individual remains resident in the
country where he/she has his/her family and economic links (i.e. center of vital interests). There is no specific consideration for short-term assignments in Luxembourg.",Taxable as resident if they possess an identity card. Non-resident if have a non-resident working permit. There is no distinction between residents and nonresidents for tax purposes.,"Taxable as resident if residing for 182 days or more in the year.  If less than 182 in the year, but the period is linked to 182 days or more consecutively immediately preceding or following the calendar year, then residency status is triggered. Income for both residents and nonresidents are taxed on a territorial basis (Malaysian source). ","Short-term assignees could be considered non-residents by not establishing a principal home in Mexico and could be totally exempt of Mexican income taxes when certain conditions are met or
be taxed on lower tax rates on their Mexican-sourced income only. Residents taxable on worldwide income, nonresidents taxable on Mexican source income only. ","Residency is determined on the facts of each case. Some considerations are the nature of the stay in the Netherlands, the length of stay, where the family lives, individual's center of economic interest, etc. Residents taxed on worldwide income, nonresidents taxed on Netherlands source income only. ",Taxable as resident if they have permanent place of abode in the country or have been personally present for more than 183 days in 12 month period.,"Taxable as resident if any of the follow requirements are met:
- individual stay in Norway for more than 183 days during any 12-month period. Will be resident in the year the requirement is fulfilled.
- individual stays in Norway for more than 270 days during any 36-month period. Will be resident in the year the requirement is fulfilled.
Residents taxed on worldwide income, nonresidents taxed on Norwegian source income only.","Taxable as resident if an individual has indefinite plans to remain.  If the days do not exceed 180 day, then a nonresident not engaged in a trade or business in the Philippines.  If over 180 days, then nonresident engaged in a Philippines trade or business. Nonresidents are taxed based on Philippine source income.","Taxable as resident if place of residence lies within Poland without regards o the location of his center of vital interests. Generally if individual is present in Poland for more than 183 days during the fiscal year (calendar year) they will be considered a tax resident. Residents taxed on worldwide income, nonresidents taxed on Polish source income only. ",Individuals are considered a resident if they are present in the country for 183 days or more in a period of 12 consecutive months. Arrival and departure days count as Russian with respect to determining residency. ,Taxable as resident if present over 183 days in a tax year and taxed on worldwide income.  Nonresidents between 61 and 183 days taxed on Singapore source income.,"Taxable as resident if any of the following requirements are met:
- individual remains in Spain for more than 183 days in a given calendar year
- individual's business or economic interest are directly or indirectly located within Spanish territory. 
There are certain conditions that an expatriate can meet to be considered a nonresident even if they meet the criteria for being a Spanish tax resident. Residents taxed on worldwide income, nonresidents taxed on Spanish source income and capital gains realized in Spain only. ","Taxable as resident if present in Sweden for six months or more and regularly stay overnight. Residents taxed on worldwide income, nonresidents taxed on  Sweden source income only. ",Taxable as resident if they take employment for more than 30 consecutive days in country or if they intend to stay permanently.,"Taxable as resident if present 183 days or more in a year, if less than 183 days then nonresident.  Both residents and nonresidents are taxed on Taiwan source income.","Taxable as resident if present 180 days or more in any tax year, if less than 180 days then nonresident.  Both residents and nonresidents are taxed on Thailand source income.","Taxable as a resident/not ordinarily resident on UK source income if present more than 183 days in a tax year, but no more than two years in total.",No data,"Taxable as resident if present 183 days or more within 12 consecutive month period, if less than 183 days then nonresident.  Reisdents are taxes on worldwide income. Nonresidents are taxes on their Vietnam source income.",,
How are per diems taxed in the Host Country,"Certain conditions apply, but per diems may be excluded from taxable income.",Cash allowances are subject to income tax.  Non-cash allowances are subject to Fringe Benefits Tax (FBT).,Daily allowances (per diems) for long-term foreign business trips are non-taxable. Previous tax exemption was for business trips of 30 days or less. This exemption was extended to longer business trips up to 24 months.,Per diems are taxable.,Exempt if qualifies as business expense.,"Certain conditions apply, but per diems may be excluded from taxable income.",Per diems are taxable if not evidenced by a receipt. Must qualify as a business expense.,Exempt if qualifies as business expense.,Employer can reimburse either actual costs or provide tax-free per diems for lodging and meals at fixed rates.,No data,"If the assignment is deemed as a business trip (determined in the Finnish tax law), travel expenses, daily allowances and housing may be provided exempt of tax.","Tax free reimbursement of certain exempt employment expenses is permitted. Howeve , proof by receipts may be required to sustantiate the expense and to verif it was actually spent in connection with items that would normally be reimbursed free of tax.",Not taxable but with limitations.  Germany has its own per diem guidelines.,"Allowances which are reasonable in amount and do no more than cover the employee's travelling, accommodation and related expenses incurred when the employee is working away from their usual base or place of residence as required by their employer is not taxable income. ",Cash allowances are taxable.  Housing paid by employer is subject to reduced taxation.,No data,Subsistence allowances are not taxable in Ireland.,Reimbursement of business expenses incurred are not taxable if the expenses are supposed by the origial receipts. ,"Majority of per diems are taxable. Non-taxable per diems are qualified relcation reimbursements (actual moving cost in connection to the assignees relocation to/from Japan) and transportaion is tax free up to lesser of JPY 100,000 or the actual transportation costs. ","Reasonable amount of per diem paid for a short period of assignment which may be treated as a business travel is non-taxable. However, the per diem paid for a long period of assignment is taxable. ","Employer can provide luncheon vouchers of a maximum value of EUR 8.40 completely tax free. However, employee is required to pay EUR 2.80 per voucher. ",Certain allowances may be nontaxable up to a certain limit. ,Travelling allowances in exercising an employment is exempted up to a certain limit per year. Meal allowances given on a daily basis based on a pre-determined rate provided by the employer in a written policy are exempt. ,Living expenses from short-term visits to Mexico that are supported by receipts from third parties are free of tax in Mexico. Per diem amounts are treated as a taxable allowance.,Tax free reimbursement of certain employment expenses is permitted.,No data,Tax free if reimbursed for actual expenses. Reimbursements of work-related expenses in excess of actual costs are taxable. ,Taxable.,Not taxable,"Reimbursements by an employer in Russia of employees' business trips expenses within certain limits, provided these expneses are propery documented in accordance with Russian Legislations, are tax exempt.",Cash allowances are taxable.  ,Reimbursements of actual expenses are not taxable. Payments for certain business-related expenses are taxable.,Per diems up to a certain standard amount is tax free. ,No data,Meal allowance over monthly limit taxable. Daily allowances to individuals hired by a Taiwanese government acency or a private enterprise to provide services in Taiwan and stay for not more than 90 days are exempt from tax up to a certain daily limit.,Per diems are taxable unless the payments represent reimburseable business expenses or transport expenses are exclusively and necessarily incurred in carrying out duties outwide the normal place of work.,Allowances are not taxable if assignment is no more than two years in length.,No data,Per diems are not taxable as long as they are in line with certain regulations.,,
Employer Portion of Social Taxes,No data,No data,"Calculated at $300,000 Base:
$103,500","Calculated at $300,000 Base:
$110,400",No data,No data,No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
$144,700","Calculated at $300,000 Base:
$15,000",No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
$14,000",No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
$8,600",No data,No data,No data,"Calculated at $300,000 Base:
$21,300",No data,No data,"Calculated at $300,000 Base:
$15,800",No data,No data,No data,No data,"Calculated at $300,000 Base:
$39,800","Calculated at $300,000 Base:
$12,100",No data,,
Employee Income Tax,No data,No data,"Calculated at $300,000 Base:
Federal: $136,700","Calculated at $300,000 Base:
Federal: $75,600",No data,No data,No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
Federal: $79,800","Calculated at $300,000 Base:
Federal: $104,800",No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
Federal Taxes: $74,600
Local Taxes: 25,600",No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
Federal Taxes: $127,800
",No data,No data,No data,"Calculated at $300,000 Base:
Federal Taxes: $66,800
",No data,No data,"Calculated at $300,000 Base:
Federal Taxes: $127,600
",No data,No data,No data,No data,"Calculated at $300,000 Base:
Federal Taxes: $111,700","Calculated at $300,000 Base:
Federal Taxes: $67,400
CA State Taxes: 22,100",No data,,
Employee Portion of Social Tax,No data,No data,"Calculated at $300,000 Base:
$39,200","Calculated at $300,000 Base:
$2,500",No data,No data,No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
$32,300","Calculated at $300,000 Base:
$15,500",No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
$13,100",No data,No data,No data,No data,No data,"Calculated at $300,000 Base:
$16,400",No data,No data,No data,"Calculated at $300,000 Base:
$35,700",No data,No data,"Calculated at $300,000 Base:
$3,400",No data,No data,No data,No data,"Calculated at $300,000 Base:
$11,700","Calculated at $300,000 Base:
$12,100",No data,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please refer to letter accompanying matrix for additional information on treaty application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Updated,11/02/16,,07/06/14,07/06/14,19/11/14,08/06/14,17/07/14,,08/06/14,,08/06/14,08/06/14,08/06/14,17/07/14,,,10/06/14,17/07/14,09/06/14,17/07/14,10/06/14,17/07/14,17/07/14,10/06/14,11/06/14,,10/06/14,17/07/14,10/06/14,28/10/14,19/11/14,10/06/14,10/06/14,,17/07/14,17/07/14,09/06/14,,17/07/14,,
Who Updated,Michelle Singson,,Kristie Moon,Kristie Moon,Brett Sipes,Kristie Moon,Kristie Moon,,Kristie Moon,,Kristie Moon,Kristie Moon,Kristie Moon,Kristie Moon,,,Mitchell Underwood,Kristie Moon,Mitchell Underwood,Kristie Moon,Mitchell Underwood,Kristie Moon,Kristie Moon,Mitchell Underwood,Kristie Moon,,Kristie Moon,Kristie Moon,Kristie Moon,Crystal Saint,Brett Sipes,Kristie Moon,Kristie Moon,,Kristie Moon,Kristie Moon,Mitchell Underwood,,Kristie Moon,,
 ,,,,,,,19/11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Brett Sipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,